case_id,study,control_type,source_company,source_role,mode,top_category,data_support,effective_evidence_mass,uncertainty_entropy,sha256
E1B-C1-amazon-swe,company_prior_differentiation,positive_control,amazon,swe,ordered_practice_priority,ownership_execution,0.312711,3.0,0.989184,f0458ba37272979bb667145cca07d25c1379d7d77d1dbc57cfc021a15ca80e0f
E1B-C1-google-swe,company_prior_differentiation,positive_control,google,swe,ordered_practice_priority,analytical_problem_solving,0.312711,3.0,0.986792,faabd7b461a38c16f34735800205fdf07e44f35bcd272de7c5576047265ce919
E1B-C1-jpmorgan-swe,company_prior_differentiation,positive_control,jpmorgan,swe,ordered_practice_priority,analytical_problem_solving,0.312711,3.0,0.995208,6796008bd3630a2ced2e4701fe4c8eb03ba295f878d91daf290eb1676b20bbde
E1B-N1-rbc-retail,company_prior_differentiation,negative_control,rbc,retail_banking,ordered_practice_priority,impact_results,0.312711,3.0,0.995721,41d29e9f7a641bc93ac124828e53d816e3f7cb8ed6b4f6ad3fac38ccf3ae613d
E1B-N1-cibc-retail,company_prior_differentiation,negative_control,cibc,retail_banking,ordered_practice_priority,impact_results,0.312711,3.0,0.995721,41d29e9f7a641bc93ac124828e53d816e3f7cb8ed6b4f6ad3fac38ccf3ae613d
E1B-N1-bmo-retail,company_prior_differentiation,negative_control,bmo,retail_banking,ordered_practice_priority,impact_results,0.312711,3.0,0.995721,41d29e9f7a641bc93ac124828e53d816e3f7cb8ed6b4f6ad3fac38ccf3ae613d
E1B-R1-swe,role_prior_differentiation,positive_control,,swe,ordered_practice_priority,analytical_problem_solving,0.312711,3.0,0.986383,e827ea0033873244f5dac06883f73a7866619cd42c3b12c3f0fb0b1b401047cb
E1B-R1-data,role_prior_differentiation,positive_control,,data_analytics,ordered_practice_priority,analytical_problem_solving,0.312711,3.0,0.984521,dbf4eb616374fea17405ec61f7bcb3a8381fce1c76871d1052deacdaa35b517a
E1B-R1-retail,role_prior_differentiation,positive_control,,retail_banking,ordered_practice_priority,impact_results,0.312711,3.0,0.993428,01bcabc54ac94cdc086b7630350b24ab5847c0095f044543bf0e3696d32e8d32
E1B-R1-risk,role_prior_differentiation,positive_control,,risk_compliance,ordered_practice_priority,analytical_problem_solving,0.312711,3.0,0.98544,36fc7a741378e5c7b8b0f9027efc36079460e3f5126973d88071cfddfd46b756
E1B-R1-consult,role_prior_differentiation,positive_control,,consulting_case_pei,ordered_practice_priority,structured_thinking,0.312711,3.0,0.968009,2164a4d49fde4a8eb73c52fb804c25d8905aab3cf2694400cd050f8dc7ad0f37
